,articleID,publication_date,text,len_text,label
0,3393,1976-03-01,Treatment of tardive dyskinesia.,4,0
1,3393,1976-03-01,"An effective schema for the treatment of tardive dyskinesia includes avoiding antiparkinsonian medication and prescribing deanol, an acetylcholine precursor, while continuing or increasing phenothiazine dosages.",25,0
2,3393,1976-03-01,"The former is thought to be related to central nervous system dopaminergic hyperactivity, while the latter is known to be related to dopamine deficiency.",24,0
3,3393,1976-03-01,The pathogenesis of tardive dyskinesia is distinct from and may be functionally opposite to that of parkinsonism.,17,0
4,18795,1977-06-01,Asthma and urticaria during disodium cromoglycate treatment. A case report.,10,0
5,18795,1977-06-01,A 10-year-old asthmatic boy began to suffer from urticarial rash and moderately severe bronchospasm after 8 weeks' treatment with disodium cromoglycate.,21,1
6,18795,1977-06-01,"Initially, DSCG had helped to control his asthmatic attacks, and steroid therapy could be discontinued.",15,0
7,18795,1977-06-01,"Inhalation provocation test with DSCG aerosol, 4 months after stopping DSCG treatment, showed an immediate-type 1 response and urticaria.",19,0
8,18795,1977-06-01,"A repeat provocation test, under antihistaminic cover , failed to produce similar response.",13,0
9,18795,1977-06-01,"When DSCG was withdrawn, urticaria vanished and the child remained symptom-free.",11,1
10,18795,1977-06-01,Disodium cromoglycate is regarded as the possible aetiological agent.,9,0
11,31353,1978-11-01,These syndromes are often undiagnosed or misdiagnosed and lead to unnecessary morbidity and noncompliance with recommended pharmacotherapy.,17,0
12,31353,1978-11-01,The literature is reviewed and the case is discussed with special focus upon the duration of extrapyramidal side effects.,19,0
13,31353,1978-11-01,"This report describes a male college student who experienced akinesia lasting almost 3 weeks following withdrawal from relatively brief, low-dose neuroleptic treatment.",22,0
14,31353,1978-11-01,Unexpected and prolonged akinesia: a case report.,7,0
15,39302,1979-05-01,Reversal of neuroleptic-induced stupor by procyclidin. Two case reports and their theoretical implications.,13,0
16,39302,1979-05-01,"Emphasis is placed on the significance of the possible relationship and similarity between NIS and catatonic stupor, and on the theoretical possibilities which this offers.",25,0
17,39302,1979-05-01,Two case reports and data from literature on the subject are used by the authors to describe characteristics of pathogenetic importance of neuroleptic induced stupor (NIS).,26,0
18,39302,1979-05-01,"The origin of NIS is outlined briefly and some fundamental clinical and experimental facts are presented, all of which stress the importance of the acute blockade of postsynaptic DA-ergic receptors.",30,0
19,53128,1975-12-01,An emergency tracheostomy was life saving.,6,0
20,53128,1975-12-01,This progressed to tracheal compression with stridor after he had taken some aspirin for relief of the neck pain.,19,1
21,53128,1975-12-01,A patient is described with polycythemia vera who was taking anticoagulants and developed a spontaneous retropharyngeal hemorrhage after a violent sneezing episode.,22,0
22,53128,1975-12-01,Airway obstruction due to spontaneous retropharyngeal hemorrhage.,7,0
23,58443,1976-01-01,"In keeping with findings in the literature, the aortic wall in this case was damaged by secondary changes following irradiation and Bleomycin treatment.",23,1
24,58443,1976-01-01,Aortic perforation complicating carcinoma of the oesophagus is extremely uncommon.,10,0
25,58443,1976-01-01,Extensive necrosis of normal tissues was a prominent feature and it is suggested that the action of radiation in combination with cytostatic therapy on normal tissues need further investigation.,29,0
26,58443,1976-01-01,Aorto-oesophageal fistula complicating carcinoma of the oesophagus. Review of the literature and report of a case following irradiation and cytostatic therapy.,21,0
27,71813,1977-01-01,Lichen planus and acne provoked by gold.,7,1
28,71813,1977-01-01,A 58-year-old man with rheumatoid arthritis developed lichen planus during treatment with gold.,13,1
29,71813,1977-01-01,"Four months after cessation of treatment, a severe acne with comedones, papules, pustules, and small cystic elements broke out.",19,0
30,71813,1977-01-01,No connection could be demonstrated between the eruption and other drugs or chemicals.,13,0
31,71813,1977-01-01,Acne provoked by gold seems not to have been described elsewhere.,11,1
32,71813,1977-01-01,"The case history confirms that gold treatment, even in the same patient, can give rise to a wide range of skin disturbances, which in many cases do not break out until long after the drug has been withdrawn.",38,1
33,78380,1978-07-22,Nitrogen-oxygen saturation therapy in serious cases of compressed-air decompression sickness.,10,0
34,78380,1978-07-22,"With serious cases, however, conventional treatment may not allow sufficient time at depth for the complete resolution of manifestations because of the need to avoid pulmonary oxygen toxicity which is associated with a prolonged period of breathing compressed air.",39,0
35,78380,1978-07-22,"Based upon the success of three refractory cases treated by this procedure, recommendation are made for the conversion of standard compressed-air chambers into an emergency saturation mode for therapy.",29,0
36,78380,1978-07-22,Decompression sickness and arterial air embolism which follow exposure to raised environmental pressures of compressed air are usually adequately treated by accepted recompression procedures of relatively short durations.,28,0
37,78380,1978-07-22,Treatment by nitrogen-oxygen saturation at a pressure equivalent of 30 m (100 ft) sea water is proposed.,17,0
38,85289,1979-02-01,"Spinal nerve block by intrathecal phenol-glycerine infusion is commonly employed for relief of severe pain in terminal carcinomatosis and, frequently, a dramatic regional anesthetic effect is achieved.",27,0
39,85289,1979-02-01,This report describes the clinical course of the patient over a period of 4 months after the nerve block and the post-mortem findings along with a brief review of the literature.,31,0
